Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
331832984040,LichtBlick,LichtBlick,9030,24
194997973937131,LinkedIn,LinkedIn Germany GmbH,5950,25
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,5799,755
103355385129734,The Climate Pledge,The Climate Pledge,5770,2
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,3963,2
105205171835668,Zervakis & Opdenhövel. Live.,ProSieben,3922,1
678621418886428,Tag der Deutschen Einheit,Staatskanzlei und Ministerium für Kultur Sachsen-Anhalt,3426,152
178362315106,European Parliament,European Parliament,2089,15
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,1771,13
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1058,47
23216224900,Plan International Deutschland,Plan International Deutschland,1040,18
161273245888,Save the Children Deutschland,Save the Children Deutschland,1015,71
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,980,18
208991275785989,Vonovia,Vonovia SE,896,62
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,855,77
103265132033300,Dranbleiben BW,"die wegmeister gmbh für das Ministerium für Soziales, Gesundheit und Integration Baden-Württemberg",811,10
82734241364,Campact e.V.,Campact e.V.,800,22
478399422560922,KadeFungin,DR. KADE,745,5
116580098376181,Audible,These ads ran without a disclaimer,713,5
100717801668573,Gesunde Erde - Gesunde Menschen,Stiftung Gesunde Erde Gesunde Menschen gGmbH,602,3
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,579,3
484950398505596,IRC Deutschland,IRC Deutschland,543,2
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf e.V.,527,10
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,499,24
308675340042451,Stuttgart macht's rein.,Landeshauptstadt Stuttgart ,474,14
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,441,5
161674141345516,Weltverbesserer,Die Techniker (TK),432,11
116000986793106,Klima,Climate Labs GmbH,409,6
614408642007931,Zurich,Zürich Beteiligungs AG,399,2
343364921106,Caritas international,Caritas international,350,131
170688644503,UNICEF Deutschland,UNICEF Deutschland,339,22
743553305741738,Frag ZEBRA,Landesanstalt für Medien NRW,296,13
120479081330563,Körber-Stiftung,Körber-Stiftung,266,31
263503200272,Welthungerhilfe,Welthungerhilfe,257,6
8895898655,Rainforest Alliance,These ads ran without a disclaimer,255,4
154423267921909,followfood,followfood,255,2
139065632780165,Monika Hohlmeier,Monika Hohlmeier,243,3
1811839762254313,Bayerisches Innenministerium,"Bayerisches Staatsministerium des Innern, für Sport und Integration",234,21
170055473557382,Land.Schafft.Bayern,Land.Schafft.Bayern,228,8
593476900673774,ifaw,ifaw,228,12
353539974847979,IHK Koblenz,IHK Koblenz,223,39
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,222,19
217786668379580,350.org Deutschland,350.org Deutschland,212,3
102918022164831,Your Data Mirror,Interactive Media Foundation gGmbH,204,2
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,203,6
258172067920,Sächsische.de,Sächsische.de,200,16
107411260903386,The Mother Nature App,The Mother Nature GmbH,199,9
130534873659391,Green Planet Energy,Green Planet Energy eG,193,11
418684251574420,Gernot Schmidt,Odermedia GmbH,193,5
1947378708884004,Initiative Frosch,Initiative Frosch,193,13
110325972343711,Bundesstiftung zur Aufarbeitung der SED-Diktatur,Bundesstiftung zur Aufarbeitung der SED-Diktatur,191,2
116335026590900,Mülltrennung wirkt,die dualen Systeme,180,15
294772850956765,Green Forest Fund e.V.,GREEN FOREST FUND e.V.,167,2
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,164,3
144056328943269,Vaillant,Vaillant Deutschland,160,5
45872374946,GREENPEACE MAGAZIN,GREENPEACE MAGAZIN,159,6
2188342231399828,HSI/Deutschland,HSI/Deutschland,148,8
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,141,1
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,140,15
374927701107,Ostsee-Zeitung,MADSACK Market Solutions GmbH,135,3
846335975484709,The Generation Forest,The Generation Forest eG,134,1
100572773318575,Ärzte der Welt,Ärzte der Welt,133,26
90035328642,PETA Deutschland,PETA Deutschland,132,12
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,131,41
110271520875262,Berlin TXL,Land Berlin vertreten durch die Tegel Projekt GmbH,129,37
106653924258368,Vision Sea Life,Vision Sea Life,128,12
127143338110,missio,missio,127,4
214065808453,SPD Saar,SPD Saar,125,4
149915685059106,Binnaz Abla,These ads ran without a disclaimer,124,2
141612489183275,Hans-Böckler-Stiftung,Hans-Böckler-Stiftung,117,6
104824124853030,Isabel Cademartori,SPD Mannheim,116,1
169463563099560,land.nrw,land.nrw,111,1
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,109,1
163969044200338,The Female Company,The Female Company,107,1
101285651990166,Planted,Planted HQ gGmbH,105,5
134483979119,Rosa-Luxemburg-Stiftung,Rosa-Luxemburg-Stiftung,103,7
494153183976139,Stadtwerke Esslingen,Stadtwerke Esslingen am Neckar GmbH & Co KG,101,7
1745982485667400,Guido Reil,Guido Reil,101,1
648606161910298,"Ministerium für Soziales, Gesundheit, Frauen und Familie","Ministerium für Soziales, Gesundheit, Frauen und Familie",≤100,3
119259598130965,Bildungsstätte Anne Frank,Bildungsstätte Anne Frank,≤100,16
112277272142815,Sparkasse,Sparkasse,≤100,1
21289227249,FDP,FDP,≤100,1
64694257920,ProSieben,ProSieben,≤100,4
332923170220,ONE Deutschland,ONE Deutschland,≤100,2
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,≤100,28
1703416996566672,Echt Grün - Eure Landwirte,Echt Grün - Eure Landwirte,≤100,16
1077260675704647,Wohnglück,Impleco GmbH,≤100,29
32925303328,Heinrich-Böll-Stiftung,Heinrich-Böll-Stiftung,≤100,1
375109771472,Freie Presse,Freie Presse,≤100,18
100809408696481,finanzen.de viva,finanzen.de,≤100,2
383045615057842,Thomas Dehler Stiftung,Sebastian Zajonz,≤100,18
145944615464920,Polarstern Energie,Polarstern Energie,≤100,4
1096099377140176,karlsruhe.digital,Initiative karlsruhe.digital,≤100,4
791896130901196,"Ministerium für Inneres, Bauen und Sport des Saarlandes","Ministerium für Inneres, Bauen und Sport des Saarlandes",≤100,1
303043247017496,Markus Buchheit,Markus Buchheit,≤100,1
182704598535,Open Doors Deutschland,Open Doors Deutschland,≤100,6
117534528257937,Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,≤100,35
75492447764,GLS Bank,GLS Bank,≤100,2
611910082337980,VerbraucherCheck.net,Caesar Richard Reinhold Ludwig  Schütz,≤100,17
540404695989874,AfD,AfD,≤100,2
1676686442620170,AfD Lübeck,Andrea Gaidetzka,≤100,2
108550857143852,Environmental Justice Foundation Deutschland,Environmental Justice Foundation Charitable Trust Deutschland gGmbH,≤100,4
107704830821545,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz","Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",≤100,2
112002753685892,Carmino,New Path Solutions GmbH,≤100,3
156733414463449,SAUBER ENERGIE,SE SAUBER ENERGIE GmbH & Co. KG,≤100,4
164513593594332,Deutsche Aidshilfe,Deutsche Aidshilfe,≤100,9
198244400189055,Entega,ENTEGA Plus GmbH,≤100,4
1094683160736817,Respect-4-You Russischer Pflegedienst,Vadim Zaretskiy,≤100,8
198530121257,Hannoversche Allgemeine Zeitung / HAZ,MADSACK Market Solutions GmbH,≤100,1
