Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
78502295414,CDU,CDU,13836,66
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,11424,22
82734241364,Campact e.V.,Campact e.V.,11239,350
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6923,758
108824017345866,Facebook,Facebook Inc.,5822,18
75159424764,Aktion Mensch,Aktion Mensch,4774,27
540404695989874,AfD,AfD,4290,23
111033161266569,DeinMorgen,Die Jungen Unternehmer,3562,55
21289227249,FDP,FDP,2690,56
103558289679671,Bündnis 90/Die Grünen Berlin,Die Landesgeschäftsführung von Bündnis 90/Die Grünen Berlin,2462,31
351947321504088,GRÜNE Niedersachsen,Grüne Niedersachsen,2267,5
116580098376181,Audible,These ads ran without a disclaimer,1969,3
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,1958,10
484950398505596,IRC Deutschland,IRC Deutschland,1943,5
350558562311,FDP Bayern,FDP Bayern,1848,34
331832984040,LichtBlick,LichtBlick,1588,28
134209407129787,Volt Deutschland,Volt Deutschland,1491,38
1705743076337397,Deutsche Postcode Lotterie,These ads ran without a disclaimer,1483,1
123523341045520,Die Familienunternehmer,Die Familienunternehmer,1338,27
108165514298122,Zukunft sichern,Zukunft Sichern,1236,59
134137749971478,SPD Berlin,SPD Berlin,1173,18
282800387209,FDP NRW,FDP NRW,1126,37
23216224900,Plan International Deutschland,Plan International Deutschland,1111,10
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,1106,4
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,1058,25
154149027994068,ZDF,ZDF,1024,3
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1014,48
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),971,27
178362315106,European Parliament,European Parliament,949,36
170688644503,UNICEF Deutschland,UNICEF Deutschland,875,26
614408642007931,Zurich,Zürich Beteiligungs AG,861,8
2093351790978732,Lucid: Great Ideas Visualized,These ads ran without a disclaimer,833,1
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,806,2
47694585682,DIE LINKE,DIE LINKE,777,21
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,741,8
116000986793106,Klima,Climate Labs GmbH,739,2
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,716,1
104342778292114,Kaspar Haller,Kaspar Haller,641,17
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,635,92
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,613,3
150380582965,BVMW - Bundesverband mittelständische Wirtschaft,BVMW - Bundesverband mittelständische Wirtschaft,597,32
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),532,2
283266582089,action medeor e.V.,action medeor e.V.,509,15
1014057301965054,Thomas Heilmann,CDU Steglitz-Zehlendorf,490,2
161674141345516,Weltverbesserer,Die Techniker (TK),468,11
