Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
331832984040,LichtBlick,LichtBlick,8577,20
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6710,768
103355385129734,The Climate Pledge,The Climate Pledge,5334,2
453150811428411,Mastercard,Mastercard,4314,8
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,3774,2
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,2935,47
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,2160,6
678621418886428,Tag der Deutschen Einheit,Staatskanzlei und Ministerium für Kultur Sachsen-Anhalt,1985,125
178362315106,European Parliament,European Parliament,1968,12
614408642007931,Zurich,Zürich Beteiligungs AG,1417,9
23216224900,Plan International Deutschland,Plan International Deutschland,1404,18
82734241364,Campact e.V.,Campact e.V.,1273,36
241036373819,Ben & Jerry's,Ben & Jerry's,1223,3
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,1098,12
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,1093,23
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,1003,7
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,990,54
208991275785989,Vonovia,Vonovia SE,897,62
161273245888,Save the Children Deutschland,Save the Children Deutschland,866,65
116580098376181,Audible,These ads ran without a disclaimer,850,5
478399422560922,KadeFungin,DR. KADE,847,10
484950398505596,IRC Deutschland,IRC Deutschland,608,2
498082906898583,Spotify,Spotify,592,1
308675340042451,Stuttgart macht's rein.,Landeshauptstadt Stuttgart ,546,14
154423267921909,followfood,followfood,533,2
593476900673774,ifaw,ifaw,479,12
103265132033300,Dranbleiben BW,"die wegmeister gmbh für das Ministerium für Soziales, Gesundheit und Integration Baden-Württemberg",456,10
314610442075420,TeamClimate,TeamClimate,456,60
343364921106,Caritas international,Caritas international,448,130
120479081330563,Körber-Stiftung,Körber-Stiftung,434,40
116000986793106,Klima,Climate Labs GmbH,395,6
165629350137468,Schaebens,Schaebens,332,14
170688644503,UNICEF Deutschland,UNICEF Deutschland,324,21
248913988520756,Union Investment,Union Investment Privatfonds GmbH,317,2
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,317,1
201710366528032,Umweltinstitut München e.V.,Umweltinstitut München e.V.,294,2
449196900156,Volvo Car Deutschland,Volvo Car Germany GmbH,275,1
540404695989874,AfD,AfD,271,3
263503200272,Welthungerhilfe,Welthungerhilfe,268,6
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,263,15
100717801668573,Gesunde Erde - Gesunde Menschen,Stiftung Gesunde Erde Gesunde Menschen gGmbH,261,2
169463563099560,land.nrw,land.nrw,261,3
161674141345516,Weltverbesserer,Die Techniker (TK),252,9
223829854355699,Frosch,Frosch,243,2
