Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
103355385129734,The Climate Pledge,The Climate Pledge,12296,24
21289227249,FDP,FDP,11004,121
82734241364,Campact e.V.,Campact e.V.,8119,267
106626487721376,Amazon Europe,Amazon Europe,7553,9
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6558,691
178362315106,European Parliament,European Parliament,5983,12
768905426534529,Bundesregierung,Bundesregierung,4365,2
169463563099560,land.nrw,land.nrw,3089,1
331832984040,LichtBlick,LichtBlick,2569,106
1655252804795367,Oatly,Oatly,1948,1
540404695989874,AfD,AfD,1820,28
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,1697,15
170688644503,UNICEF Deutschland,UNICEF Deutschland,1585,37
108165514298122,Zukunft sichern,Zukunft Sichern,1505,19
78502295414,CDU,CDU,1468,23
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,1429,41
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,1109,32
453150811428411,Mastercard,Mastercard,1108,10
116580098376181,Audible,These ads ran without a disclaimer,1054,2
116000986793106,Klima,Climate Labs GmbH,1031,3
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1026,73
112352081112400,Inyova Impact Investing - Germany,Inyova Impact Investing,1009,48
442906105719770,TotalEnergies,TOTAL Deutschland GmbH,942,10
123523341045520,Die Familienunternehmer,Die Familienunternehmer,915,12
700577889971139,PENNY,PENNY,675,9
478399422560922,KadeFungin,DR. KADE,656,14
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,634,11
1578640155687393,Sea-Watch,Sea-Watch,601,11
23216224900,Plan International Deutschland,Plan International Deutschland,592,17
90035328642,PETA Deutschland,PETA Deutschland,581,24
380349938694731,Mentor Verlag,Mentor Verlag,491,10
2093351790978732,Lucid: Great Ideas Visualized,These ads ran without a disclaimer,486,2
47930567748,SPD,SPD,457,8
