Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
82734241364,Campact e.V.,Campact e.V.,11929,364
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6462,688
178362315106,European Parliament,European Parliament,5872,8
108824017345866,Facebook,Facebook Inc.,5854,23
21289227249,FDP,FDP,5394,80
540404695989874,AfD,AfD,3595,30
111033161266569,DeinMorgen,Die Jungen Unternehmer,2729,68
107898832590939,European Commission,European Commission,2473,33
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,2381,19
108165514298122,Zukunft sichern,Zukunft Sichern,2214,28
170688644503,UNICEF Deutschland,UNICEF Deutschland,1820,40
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,1572,42
23216224900,Plan International Deutschland,Plan International Deutschland,1459,12
123523341045520,Die Familienunternehmer,Die Familienunternehmer,1311,24
249296718436,IG Metall,IG Metall,1219,8
484950398505596,IRC Deutschland,IRC Deutschland,1194,6
116580098376181,Audible,These ads ran without a disclaimer,1169,2
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,1126,28
134209407129787,Volt Deutschland,Volt Deutschland,1121,13
143504445664134,Christian Lindner,FDP,1099,18
64694257920,ProSieben,ProSieben,988,6
453150811428411,Mastercard,Mastercard,979,2
90035328642,PETA Deutschland,PETA Deutschland,955,15
331085703648232,Deutscher Verkehrssicherheitsrat - DVR,Deutscher Verkehrssicherheitsrat e.V.,934,13
331832984040,LichtBlick,LichtBlick,869,30
350558562311,FDP Bayern,FDP Bayern,862,19
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,860,93
102608544969110,Posterisan,DR. KADE,809,20
116000986793106,Klima,Climate Labs GmbH,725,2
134137749971478,SPD Berlin,SPD Berlin,662,14
1566424690272923,Volker Wissing,FDP,627,14
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),580,36
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,569,87
351947321504088,GRÜNE Niedersachsen,Grüne Niedersachsen,514,4
126866220711392,MDM Deutsche Münze,MDM Münzhandelsgesellschaft mbH & Co. KG Deutsche Münze,496,8
130273271119,SPD Hamburg,SPD Hamburg,493,57
47930567748,SPD,SPD,489,10
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,484,4
154149027994068,ZDF,ZDF,459,1
380349938694731,Mentor Verlag,Mentor Verlag,388,2
2093351790978732,Lucid: Great Ideas Visualized,These ads ran without a disclaimer,382,2
164131966966839,FDP Schleswig-Holstein,FDP Schleswig-Holstein,377,18
161273245888,Save the Children Deutschland,Save the Children Deutschland,367,15
282800387209,FDP NRW,FDP NRW,359,14
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,344,16
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,342,40
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,325,9
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",316,1
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,315,141
126952903983246,CDU Berlin,CDU Berlin,308,128
183292338524573,Nestlé,Nestlé Deutschland,296,1
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,291,11
614408642007931,Zurich,Zürich Beteiligungs AG,291,4
1578640155687393,Sea-Watch,Sea-Watch,288,11
2188342231399828,HSI/Deutschland,HSI/Deutschland,287,26
308675340042451,Stuttgart macht's rein.,Landeshauptstadt Stuttgart ,285,2
127143338110,missio,missio,275,41
154423267921909,followfood,followfood,271,2
110976485656573,Junge Liberale JuLis,Junge Liberale,265,11
1565754943752371,Robert Farle,Robert Farle,260,17
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,257,5
110271520875262,Berlin TXL,Land Berlin vertreten durch die Tegel Projekt GmbH,253,31
43899732459,fritz-kola,fritz-kola,251,7
116335026590900,Mülltrennung wirkt,die dualen Systeme,238,53
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),237,4
41509493347,Diakonie Deutschland,Diakonie Deutschland,232,6
106261086094051,noz.de,Neue Osnabrücker Zeitung GmbH & Co. KG,232,17
196999950359158,FDP Berlin,FDP Berlin,224,58
227292860644574,Sebastian Czaja,FDP Berlin,222,69
313744767921,der Freitag,der Freitag,216,17
103558289679671,Bündnis 90/Die Grünen Berlin,Die Landesgeschäftsführung von Bündnis 90/Die Grünen Berlin,213,15
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,213,15
