Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
107898832590939,European Commission,European Commission,12993,5
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6288,594
64694257920,ProSieben,ProSieben,2277,10
78502295414,CDU,CDU,1897,18
82734241364,Campact e.V.,Campact e.V.,1736,46
106626487721376,Amazon Europe,Amazon Europe,1429,6
1762360844053566,RECUP,RECUP,1342,64
116580098376181,Audible,These ads ran without a disclaimer,1127,1
183292338524573,Nestlé,Nestlé Deutschland,1010,12
178362315106,European Parliament,European Parliament,1008,9
170688644503,UNICEF Deutschland,UNICEF Deutschland,992,51
768905426534529,Bundesregierung,Bundesregierung,960,2
190784743602,CDU/CSU-Bundestagsfraktion,CDU/CSU-Bundestagsfraktion,958,71
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,937,88
331832984040,LichtBlick,LichtBlick,917,45
484950398505596,IRC Deutschland,IRC Deutschland,900,12
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,843,35
23216224900,Plan International Deutschland,Plan International Deutschland,791,15
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,696,6
430111700332957,"Ministerium für Wirtschaft, Arbeit, Energie und Verkehr","Ministerium für Wirtschaft, Arbeit, Energie und Verkehr",669,3
21289227249,FDP,FDP,527,16
164355333623231,The Left,GUE/NGL,513,25
161674141345516,Weltverbesserer,Die Techniker (TK),492,9
1578640155687393,Sea-Watch,Sea-Watch,446,13
540404695989874,AfD,AfD,435,14
350375105088695,DPD Deutschland,DPD Deutschland GmbH,421,2
1947378708884004,Initiative Frosch,Initiative Frosch,403,13
478399422560922,KadeFungin,DR. KADE,394,6
161273245888,Save the Children Deutschland,Save the Children Deutschland,392,30
192173427494417,"WOLF Heizung, Klima, Lüftung",WOLF GmbH,389,6
490874321062716,Berlin Partner für Wirtschaft und Technologie,Berlin Partner für Wirtschaft und Technologie,386,29
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,383,70
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,379,71
