Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
103355385129734,The Climate Pledge,The Climate Pledge,11759,6
107898832590939,European Commission,European Commission,8308,18
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,5930,655
82734241364,Campact e.V.,Campact e.V.,5429,377
106626487721376,Amazon Europe,Amazon Europe,1410,6
331832984040,LichtBlick,LichtBlick,1390,51
63415881040,Aktion Deutschland Hilft,Aktion Deutschland Hilft,1328,9
1762360844053566,RECUP,RECUP,1284,66
170688644503,UNICEF Deutschland,UNICEF Deutschland,1150,37
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1051,89
484950398505596,IRC Deutschland,IRC Deutschland,1027,8
178362315106,European Parliament,European Parliament,1006,7
768905426534529,Bundesregierung,Bundesregierung,971,2
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,813,44
23216224900,Plan International Deutschland,Plan International Deutschland,786,15
453150811428411,Mastercard,Mastercard,756,3
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,716,8
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,704,103
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",628,2
161674141345516,Weltverbesserer,Die Techniker (TK),623,13
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,578,19
478399422560922,KadeFungin,DR. KADE,522,10
116580098376181,Audible,These ads ran without a disclaimer,514,1
116000986793106,Klima,Climate Labs GmbH,471,2
490874321062716,Berlin Partner für Wirtschaft und Technologie,Berlin Partner für Wirtschaft und Technologie,450,30
1578640155687393,Sea-Watch,Sea-Watch,445,14
1947378708884004,Initiative Frosch,Initiative Frosch,425,15
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,424,10
90035328642,PETA Deutschland,PETA Deutschland,406,31
192173427494417,"WOLF Heizung, Klima, Lüftung",WOLF GmbH,401,6
161273245888,Save the Children Deutschland,Save the Children Deutschland,400,31
2188342231399828,HSI/Deutschland,HSI/Deutschland,359,17
154149027994068,ZDF,ZDF,353,3
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,347,40
106441894501599,Zukunft prägen - Lehrer/-in werden,Bayerisches Staatsministerium für Unterricht und Kultus,339,16
112352081112400,Inyova Impact Investing - Germany,Inyova Impact Investing,327,36
540404695989874,AfD,AfD,308,10
154423267921909,followfood,followfood,305,1
137267732953826,Berliner Zeitung,Berliner Verlag GmbH,283,8
21289227249,FDP,FDP,259,22
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,257,21
1982314815387746,EYD,Humanitarian Clothing GmbH,253,19
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,252,67
380349938694731,Mentor Verlag,Mentor Verlag,243,1
412708008752200,RaboDirect Deutschland,RaboDirect Deutschland,240,4
116335026590900,Mülltrennung wirkt,die dualen Systeme,238,53
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,229,15
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,228,4
614408642007931,Zurich,Zürich Beteiligungs AG,228,6
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,222,30
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,213,13
614408642007931,Zurich,Zürich Beteiligungs AG,203,4
