Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,36356,106
78502295414,CDU,CDU,28035,196
103355385129734,The Climate Pledge,The Climate Pledge,20535,14
47930567748,SPD,SPD,19146,149
108824017345866,Facebook,Facebook Inc.,18707,54
64694257920,ProSieben,ProSieben,15717,5
82734241364,Campact e.V.,Campact e.V.,11999,644
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,8913,5
20672124724,BÜNDNIS 90/DIE GRÜNEN NRW,BÜNDNIS 90/DIE GRÜNEN NRW,7649,11
105205171835668,Zervakis & Opdenhövel. Live.,ProSieben,7062,1
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6314,611
145019618847447,SAT.1,Seven.One Entertainment Group GmbH,6170,1
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,5000,29
21289227249,FDP,FDP,4888,666
47694585682,DIE LINKE,DIE LINKE,4769,29
1655252804795367,Oatly,Oatly,4413,2
75159424764,Aktion Mensch,Aktion Mensch,4336,31
540404695989874,AfD,AfD,4293,44
400646766650321,Blinkist,Blinks Labs GmbH,3545,51
109478215738226,Armin Laschet,CDU,3501,3
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,2803,196
103558289679671,Bündnis 90/Die Grünen Berlin,Die Landesgeschäftsführung von Bündnis 90/Die Grünen Berlin,2519,82
123523341045520,Die Familienunternehmer,Die Familienunternehmer,2362,35
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,2329,22
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,2319,6
114913028545424,Kabel Eins,Seven.One Entertainment Group GmbH,2065,1
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),1876,12
351947321504088,GRÜNE Niedersachsen,Grüne Niedersachsen,1814,18
1675394899406675,Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,1754,4
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,1741,4
108165514298122,Zukunft sichern,Zukunft Sichern,1637,50
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,1636,49
126952903983246,CDU Berlin,CDU Berlin,1541,165
23216224900,Plan International Deutschland,Plan International Deutschland,1478,21
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,1467,11
134137749971478,SPD Berlin,SPD Berlin,1456,9
178362315106,European Parliament,European Parliament,1450,65
154149027994068,ZDF,ZDF,1449,3
1672408719723194,Deutschland3000,funk,1328,8
197640170649147,funk,funk,1291,6
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),1249,69
196999950359158,FDP Berlin,FDP Berlin,1202,173
263503200272,Welthungerhilfe,Welthungerhilfe,1175,9
282800387209,FDP NRW,FDP NRW,1136,52
1578640155687393,Sea-Watch,Sea-Watch,1133,14
114554831934355,Tierschutzbund,Deutscher Tierschutzbund e.V.,1127,29
110976485656573,Junge Liberale JuLis,Junge Liberale,1111,19
116580098376181,Audible,These ads ran without a disclaimer,1110,3
12084075837,Jürgen Todenhöfer,Team Todenhöfer - Die Gerechtigkeitspartei,1110,11
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,1103,4
376601206024823,DIE DA OBEN!,funk,1102,6
111033161266569,DeinMorgen,Die Jungen Unternehmer,1074,25
92576009043,Jens Spahn,Jens Spahn,1070,68
187394117987834,Bündnis 90/Die Grünen Mecklenburg-Vorpommern,BÜNDNIS 90/DIE GRÜNEN Mecklenburg-Vorpommern,985,78
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,977,10
227292860644574,Sebastian Czaja,FDP Berlin,976,218
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,974,54
208991275785989,Vonovia,Vonovia SE,922,62
103265132033300,Dranbleiben BW,"die wegmeister gmbh für das Ministerium für Soziales, Gesundheit und Integration Baden-Württemberg",919,15
104342778292114,Kaspar Haller,Kaspar Haller,827,24
134209407129787,Volt Deutschland,Volt Deutschland,781,41
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,780,8
555258241345272,immocation,immocation GmbH,768,36
1067821176570031,Paul Ziemiak,CDU Kreisverband Mark,758,7
161273245888,Save the Children Deutschland,Save the Children Deutschland,749,77
46098347293,Junge Union Deutschlands,Junge Union Deutschlands,733,1
100822712149179,Katharina Pötter,Katharina Pötter,691,9
241036373819,Ben & Jerry's,Ben & Jerry's,688,15
331832984040,LichtBlick,LichtBlick,685,29
395225134413161,Volt Berlin,Volt Berlin,675,76
156155281149864,FDP Köln,FDP Köln,654,67
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,653,3
370397683457658,Deutsche Wohnen & Co Enteignen,Deutsche Wohnen & Co Enteignen,646,1
124651027557566,PHOENIX,phoenix,622,4
156304484388194,DIE LINKE. Berlin,DIE LINKE. Berlin,583,12
266691460417403,Christoph Ploß,CDU Hamburg-Nord,563,76
117534528257937,Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,559,37
133831053368524,SPD Dortmund,SPD Dortmund,547,1
189184071108491,FDP Hamburg,FDP Hamburg,547,3
104228758621197,Hocker statt Höcke - Deutschland. Aber tolerant.,Rainer Opolka,532,10
218786540044,WWF Deutschland,WWF Deutschland,531,22
103514875204240,Christoph Schork FDP - Bundestagskandidat,FDP Kreisverband Düsseldorf,523,13
103015471773198,David Maier,David Maier,487,37
308675340042451,Stuttgart macht's rein.,Landeshauptstadt Stuttgart ,483,12
133306764192,NABU Bundesverband,NABU Bundesverband,465,50
453150811428411,Mastercard,Mastercard,452,2
88331883353,BÜNDNIS 90/DIE GRÜNEN Rheinland-Pfalz,Bündnis 90/Die Grünen Rheinland-Pfalz,430,8
118418024890466,Familienbetriebe Land und Forst e.V.,Familienbetriebe Land und Forst,411,18
161674141345516,Weltverbesserer,Die Techniker (TK),411,11
484950398505596,IRC Deutschland,IRC Deutschland,406,3
123103607735306,PRO ASYL,PRO ASYL,405,8
202215676478081,FDP MV,FDP Mecklenburg-Vorpommern,403,63
206465909483677,CDU Bonn,CDU Bonn,400,13
179057176050,SPD Baden-Württemberg,SPD Baden-Württemberg,399,2
248913988520756,Union Investment,Union Investment Privatfonds GmbH,399,2
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,390,14
116000986793106,Klima,Climate Labs GmbH,384,1
349452295159676,"Peter Stein, Bundestagsabgeordneter",Peter Stein,383,21
381177051962,Grüne München,BÜNDNIS 90/DIE GRÜNEN,373,22
100755981968185,Seija Knorr-Köning,Seija Knorr-Köning,372,33
560371954129652,TAG24,TAG24 NEWS Deutschland GmbH,364,17
123878004343494,GRÜNE Altona,Grüne Altona,360,1
130273271119,SPD Hamburg,SPD Hamburg,360,26
100203099038374,Enkelkinderbriefe,Enekelkinderbriefe,355,6
2010920999000602,Fridays for Future Deutschland,Alle fürs Klima e.V.,353,10
139782149374162,Benjamin Strasser,Benjamin Strasser,351,12
241400009229424,FDP Baden-Württemberg,FDP Baden-Württemberg,348,11
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,343,25
846335975484709,The Generation Forest,The Generation Forest eG,335,3
259870778893,ARAG Versicherungen,ARAG SE,335,2
134080283313500,DIE LINKE Thüringen,DIE LINKE Thüringen,330,26
105233098230457,Verena Hubertz,Verena Hubertz / SPD Bundestagskandidatin für Trier & Trier-Saarburg,324,6
209697875758716,Die Jungen Unternehmer,Die Jungen Unternehmer,315,26
1026865247418194,Daniel Föst,Daniel Föst,302,1
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,301,6
41509493347,Diakonie Deutschland,Diakonie Deutschland,298,2
166830066695333,Grüne Heidelberg,Bündnis 90/Die Grünen Heidelberg,298,11
127143338110,missio,missio,296,13
499359010093513,FREIE WÄHLER Rheinland Pfalz,FREIE WÄHLER Rheinland-Pfalz,295,3
1565754943752371,Robert Farle,Robert Farle,295,18
193902536304,Aufbau Verlag,Aufbau Verlag GmbH & Co.KG,293,13
154423267921909,followfood,followfood,291,2
103265228734073,Stephan Mayer 2021,CSU-Bürgerbüro,286,70
203575543022507,Dietlind Tiemann,Dr. Dietlind Tiemann,282,14
101426038525957,Annika Klose,Annika Klose,281,4
139470429458087,SPD BRANDENBURG,SPD BRANDENBURG,281,1
166140796751166,Bündnis 90/Die Grünen Nürnberg,BÜNDNIS 90/DIE GRÜNEN,280,14
169065407139584,Tilt,European Greens,279,1
100717801668573,Gesunde Erde - Gesunde Menschen,Stiftung Gesunde Erde Gesunde Menschen gGmbH,274,2
223829854355699,Frosch,Frosch,273,2
149871337782,Piratenpartei,Piratenpartei Deutschland,264,44
293789556283,GEMEINSAM FÜR AFRIKA,GEMEINSAM FÜR AFRIKA,257,13
197843980339458,Macit Karaahmetoglu,Macit Karaahmetoglu,254,21
205311826175998,DIE LINKE. Mecklenburg-Vorpommern,DIE LINKE. Mecklenburg-Vorpommern,254,8
104145414310,Olaf Scholz,SPD,250,3
113496690102800,energis Erlebe was Dein Zuhause kann,energis GmbH,247,4
207429192606075,Grüne Bremen,BÜNDNIS 90/DIE GRÜNEN,247,10
1608463192727453,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,245,8
173369732686833,Bündnis90/Die Grünen Frankfurt,Bündnis 90/Die Grünen Frankfurt am Main,241,22
401644396606709,Kai Wegner,CDU Berlin,240,9
558945014144891,Albert Weiler,Albert Weiler MdB,239,24
2188342231399828,HSI/Deutschland,HSI/Deutschland,238,10
116335168553264,Betriebsratsinitiative "Bürgerversicherung? Nein danke.",Betriebsratsinitiative "Bürgerversicherung? Nein danke!",234,1
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,233,8
170357783014155,GRÜNE Landkreis München,BÜNDNIS 90/DIE GRÜNEN,229,32
165381593630826,SPD Schleswig-Holstein,SPD Schleswig-Holstein,228,14
1325396230840080,Die Urbane. Eine HipHop Partei,Die Urbane. Eine HipHop Partei,225,8
1947378708884004,Initiative Frosch,Initiative Frosch,223,23
105983504153522,Brand New Bundestag,Brand New Bundestag,222,37
498082906898583,Spotify,Spotify,222,4
1745982485667400,Guido Reil,Guido Reil,222,2
258679164938305,Maja Wallstein,SPD Cottbus,217,9
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,216,20
1471721149560126,Falko Mohrs,Falko Mohrs,215,5
158888744130107,Hubert Aiwanger Minister Bundesvors. Freie Wähler,Hubert Aiwanger,215,14
86337829141,BÜNDNIS 90/DIE GRÜNEN Sachsen,BÜNDNIS 90/DIE GRÜNEN in Sachsen,214,1
107113291705455,Knut Gerschau,FDP Hannover,214,13
101773823336428,Rüdiger Kruse,"Rüdiger Kruse, MdB",214,60
386021434908185,Michael Theurer,FDP Karlsruhe-Stadt,214,3
101889315269599,Wiebke Winter,CDU Kreisverband Bremen-Nord,213,17
102534893738681,Alexander Krauß MdB,Alexander Krauß MdB,213,7
387862064617610,Grüne Hannover,BÜNDNIS 90/DIE GRÜNEN,212,32
107411260903386,The Mother Nature App,The Mother Nature GmbH,211,7
120479081330563,Körber-Stiftung,Körber-Stiftung,209,19
102602601456767,Winqs Sports,Winqs Sports UG,209,2
561953460655717,Social Media Ads,Alexander Dietrich,209,36
107076604063996,Xross Over,Betim Cenaj,208,16
164514150363925,Hubert Hüppe,CDU Kreisverband Unna,203,14
152650658523697,Sepp Müller,Sepp Müller MdB,199,15
101124947919410,GermanZero,Germanzero,198,28
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,195,2
273212876157375,Bündnis 90/ Die Grünen Kreisverband Böblingen,BÜNDNIS 90/DIE GRÜNEN,194,4
1118339051631217,Franka Kretschmer,Dr. Franka Kretschmer,190,1
312751442108983,SPD Ludwigshafen,SPD Ludwigshafen,190,85
451241478944949,Yannick Bury,Yannick Bury,188,19
114308060119379,Die Wohnungswirtschaft,GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,187,2
1760904514159207,Bündnis 90/Die Grünen Dortmund,Bündnis 90/Die Grünen Kreisverband Dortmund,184,3
478280768958391,Julian Schmidt - Wahlkreis 171,AfD Marburg-Biedenkopf,183,4
201710366528032,Umweltinstitut München e.V.,Umweltinstitut München e.V.,182,4
108897001501212,LGBielefeld 2021,Universität Bielefeld,179,39
1563759740356396,AfD Bezirk Hamburg-Eimsbüttel,AfD Bezirk Hamburg-Eimsbüttel,179,19
135213656531484,CDU im Kreis Paderborn,CDU Kreisverband Paderborn,176,5
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,173,3
213646985410775,DIE LINKE. Düsseldorf,DIE LINKE KVD,173,2
258191139993,GRÜNE Bayern,GRÜNE Bayern,172,18
638247852865845,Karl Lauterbach,Prof. Dr. Karl Lauterbach,172,1
1470987849804375,Erik von Malottki,Erik Von Malottki,168,2
938369522870592,Roland Hefter,Karl Roland Hefter,166,3
117934986793217,Martin Kröber,SPD,165,1
173450889377945,FDP Friedrichshain-Kreuzberg,FDP Friedrichshain-Kreuzberg,165,19
2135010219947091,MINTmagie,Bundesministerium für Bildung und Forschung,163,5
135445149965726,Kai Whittaker,Kai Whittaker,163,6
243128545750196,GRÜNE Düsseldorf,BÜNDNIS 90/DIE GRÜNEN,160,5
115908038555670,Florian Post,Florian Post MdB,159,3
59052417687,Bundeszentrale für politische Bildung (bpb),Bundeszentrale für politische Bildung (bpb),158,2
602487899802568,Özlem Alev Demirel,Europaabgeordnete,157,2
170723476273472,Grüne Kreisverband Ludwigsburg,BÜNDNIS 90/DIE GRÜNEN,156,18
103774864870999,Martin Holderied,Martin Holderied,156,23
200444150095916,Bündnis 90/Die Grünen Vorpommern-Greifswald,Bündnis 90/Die Grünen KV Vorpommern-Greifswald,155,2
102789251842365,Annette Niermann,Annette Maria Niermann,155,1
185448971484872,GRÜNE Hamburg-Wandsbek,BÜNDNIS 90/DIE GRÜNEN,154,8
169463563099560,land.nrw,land.nrw,154,2
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,153,5
1768812013390432,Kleiner Fünf,Kleiner Fünf,153,13
922013954486012,StrassenBLUES,StrassenBLUES,153,4
127608807419079,Andreas Scheuer,CSU-Bundeswahlkreisgeschäftsstelle Passau,153,6
344156702608625,Mathias Stein - Sozialdemokrat im Deutschen Bundestag,"Mathias Stein, MdB",152,43
165629350137468,Schaebens,Schaebens,151,10
313744767921,der Freitag,der Freitag,151,4
101285651990166,Planted,Planted HQ gGmbH,151,5
143389112451336,Grüne im Kreis Steinfurt,BÜNDNIS 90/DIE GRÜNEN,151,28
138187167349,"Sabine Dittmar, MdB","Sabine Dittmar, MdB",151,49
1248546532016733,Empirische Sozialforschung - Uni Bielefeld,Universität Bielefeld,150,33
380349938694731,Mentor Verlag,Mentor Verlag,149,6
109006391253440,Jessica Rosenthal,SPD Bonn,149,15
400133866760848,Ingo Gädechens Fanpage,CDU Kreisverband Ostholstein,148,1
