Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
64694257920,ProSieben,ProSieben,10070,12
82734241364,Campact e.V.,Campact e.V.,9561,611
78502295414,CDU,CDU,8620,47
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,8054,78
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6284,786
108824017345866,Facebook,Facebook Inc.,6048,18
21289227249,FDP,FDP,6044,174
75159424764,Aktion Mensch,Aktion Mensch,4783,27
540404695989874,AfD,AfD,4291,36
484950398505596,IRC Deutschland,IRC Deutschland,2591,8
47930567748,SPD,SPD,2305,52
331832984040,LichtBlick,LichtBlick,1930,28
116580098376181,Audible,These ads ran without a disclaimer,1608,3
134209407129787,Volt Deutschland,Volt Deutschland,1452,37
614408642007931,Zurich,Zürich Beteiligungs AG,1417,5
103558289679671,Bündnis 90/Die Grünen Berlin,Die Landesgeschäftsführung von Bündnis 90/Die Grünen Berlin,1396,26
123523341045520,Die Familienunternehmer,Die Familienunternehmer,1351,30
249296718436,IG Metall,IG Metall,1334,3
108165514298122,Zukunft sichern,Zukunft Sichern,1252,56
23216224900,Plan International Deutschland,Plan International Deutschland,1132,10
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,1114,27
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1018,44
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,993,4
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),952,25
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,894,8
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,837,10
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,717,148
104342778292114,Kaspar Haller,Kaspar Haller,710,25
170688644503,UNICEF Deutschland,UNICEF Deutschland,675,25
47694585682,DIE LINKE,DIE LINKE,659,23
2093351790978732,Lucid: Great Ideas Visualized,These ads ran without a disclaimer,654,1
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,652,3
400646766650321,Blinkist,Blinks Labs GmbH,651,56
134137749971478,SPD Berlin,SPD Berlin,630,17
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,619,2
196999950359158,FDP Berlin,FDP Berlin,599,261
154149027994068,ZDF,ZDF,588,3
178362315106,European Parliament,European Parliament,548,38
227292860644574,Sebastian Czaja,FDP Berlin,542,257
351947321504088,GRÜNE Niedersachsen,Grüne Niedersachsen,522,3
