Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
103355385129734,The Climate Pledge,The Climate Pledge,11791,6
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,5879,635
63415881040,Aktion Deutschland Hilft,Aktion Deutschland Hilft,5634,8
82734241364,Campact e.V.,Campact e.V.,5365,377
106626487721376,Amazon Europe,Amazon Europe,1405,6
331832984040,LichtBlick,LichtBlick,1396,51
1762360844053566,RECUP,RECUP,1358,66
170688644503,UNICEF Deutschland,UNICEF Deutschland,1168,39
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1071,85
178362315106,European Parliament,European Parliament,996,5
768905426534529,Bundesregierung,Bundesregierung,967,2
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,906,51
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,897,16
484950398505596,IRC Deutschland,IRC Deutschland,878,5
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,868,8
23216224900,Plan International Deutschland,Plan International Deutschland,829,15
161674141345516,Weltverbesserer,Die Techniker (TK),705,13
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,665,103
116580098376181,Audible,These ads ran without a disclaimer,654,1
478399422560922,KadeFungin,DR. KADE,560,10
453150811428411,Mastercard,Mastercard,541,2
223829854355699,Frosch,Frosch,517,2
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,510,17
412708008752200,RaboDirect Deutschland,RaboDirect Deutschland,485,4
490874321062716,Berlin Partner für Wirtschaft und Technologie,Berlin Partner für Wirtschaft und Technologie,475,30
1578640155687393,Sea-Watch,Sea-Watch,463,14
116000986793106,Klima,Climate Labs GmbH,461,2
1947378708884004,Initiative Frosch,Initiative Frosch,445,18
107898832590939,European Commission,European Commission,412,15
161273245888,Save the Children Deutschland,Save the Children Deutschland,405,27
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,401,67
248913988520756,Union Investment,Union Investment Privatfonds GmbH,400,1
192173427494417,"WOLF Heizung, Klima, Lüftung",WOLF GmbH,399,6
90035328642,PETA Deutschland,PETA Deutschland,393,31
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,353,16
2188342231399828,HSI/Deutschland,HSI/Deutschland,351,17
106441894501599,Zukunft prägen - Lehrer/-in werden,Bayerisches Staatsministerium für Unterricht und Kultus,348,16
154149027994068,ZDF,ZDF,342,2
540404695989874,AfD,AfD,330,10
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,323,39
154423267921909,followfood,followfood,299,1
137267732953826,Berliner Zeitung,Berliner Verlag GmbH,276,8
1982314815387746,EYD,Humanitarian Clothing GmbH,263,19
380349938694731,Mentor Verlag,Mentor Verlag,259,1
116335026590900,Mülltrennung wirkt,die dualen Systeme,255,53
1609555372394092,17 Ziele,Engagement Global - Service für Entwicklungsinitiativen,254,4
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,247,15
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,213,13
614408642007931,Zurich,Zürich Beteiligungs AG,212,4
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,192,93
503345659690341,hsp,hsp - Die Fundraiser,190,14
334720923925926,Dieter Homburg,Fachzentrum Finanzen,188,12
214065808453,SPD Saar,SPD Saar,181,5
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,178,4
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,175,4
104641917753059,Forschung ist die beste Medizin,Verband Forschender Arzneimittelhersteller e.V.,175,2
218786540044,WWF Deutschland,WWF Deutschland,172,5
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,168,94
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,165,6
133306764192,NABU Bundesverband,NABU Bundesverband,162,60
158888744130107,Hubert Aiwanger Minister Bundesvors. Freie Wähler,Hubert Aiwanger,162,3
11309713071,Gates Foundation,Essence,157,1
190633894286732,Diakonie Katastrophenhilfe,Diakonie Katastrophenhilfe,153,1
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),152,39
104966247887525,Braindom,These ads ran without a disclaimer,144,11
430111700332957,"Ministerium für Wirtschaft, Arbeit, Energie und Verkehr","Ministerium für Wirtschaft, Arbeit, Energie und Verkehr",142,2
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,141,4
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,138,4
1565754943752371,Robert Farle,Robert Farle,138,12
103919417972272,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,135,2
107411260903386,The Mother Nature App,The Mother Nature GmbH,130,8
104856335001601,Umfrage Politikforschung,Robert Welz,124,8
1805769829749530,Mehr Wirtschaft wagen,Arbeitgeberverband Gesamtmetall,122,81
614408642007931,Zurich,Zürich Beteiligungs AG,121,3
346410012055,C. Bertelsmann Verlag,Penguin Random House Verlagsgruppe GmbH,121,6
113496690102800,energis Erlebe was Dein Zuhause kann,energis GmbH,121,8
276040002549416,FREIE WÄHLER Bayern,Freie Wähler Bayern,120,4
921326477983554,Verband der Chemischen Industrie e.V.,Verband der Chemischen Industrie,120,50
100572773318575,Ärzte der Welt,Ärzte der Welt,117,24
104342778292114,Kaspar Haller,Kaspar Haller,116,4
253592560263,Christoffel-Blindenmission (CBM),CBM Christoffel-Blindenmission Christian Blind Mission e.V.,116,12
108550857143852,Environmental Justice Foundation Deutschland,Environmental Justice Foundation Charitable Trust Deutschland gGmbH,113,10
101285651990166,Planted,Planted HQ gGmbH,113,39
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),108,1
112352081112400,Inyova Impact Investing - Germany,Inyova Impact Investing,108,36
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),107,4
106653924258368,Vision Sea Life,Vision Sea Life,105,6
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,102,3
112127710187776,LEA Hessen,LandesEnergieAgentur Hessen,102,1
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,101,13
135445149965726,Kai Whittaker,Kai Whittaker,≤100,5
1299185570141113,"Stephan Pilsinger, MdB",Stephan Nikolaus Pilsinger,≤100,2
185101174836284,IG Metall Jugend,IG Metall Jugend,≤100,43
109460782417586,CDU in Niedersachsen,CDU in Niedersachsen,≤100,40
102608544969110,Posterisan,DR. KADE,≤100,15
429601160521937,HUMAN BLOOD,HUMAN BLOOD,≤100,12
156304484388194,DIE LINKE. Berlin,DIE LINKE. Berlin,≤100,6
134137749971478,SPD Berlin,SPD Berlin,≤100,2
227292860644574,Sebastian Czaja,FDP Berlin,≤100,95
196999950359158,FDP Berlin,FDP Berlin,≤100,96
130534873659391,Greenpeace Energy,Greenpeace Energy e.G.,≤100,25
410100252391597,"Saskia Esken, SPD",SPD Regionalzentrum Karlsruhe/Nordschwarzwald,≤100,21
221425877960404,HA Hessen Agentur GmbH,HA Hessen Agentur GmbH,≤100,1
313744767921,der Freitag,der Freitag,≤100,21
1077260675704647,Wohnglück,Impleco GmbH,≤100,32
