Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
103355385129734,The Climate Pledge,The Climate Pledge,12613,24
82734241364,Campact e.V.,Campact e.V.,8695,342
21289227249,FDP,FDP,7734,101
106626487721376,Amazon Europe,Amazon Europe,7254,9
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6858,704
178362315106,European Parliament,European Parliament,6482,13
169463563099560,land.nrw,land.nrw,2729,1
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,2504,16
170688644503,UNICEF Deutschland,UNICEF Deutschland,1838,36
108165514298122,Zukunft sichern,Zukunft Sichern,1550,19
13479664941,JUNGE FREIHEIT,These ads ran without a disclaimer,1524,6
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,1463,41
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,1449,44
23216224900,Plan International Deutschland,Plan International Deutschland,1446,11
78502295414,CDU,CDU,1335,33
143504445664134,Christian Lindner,FDP,1251,16
331832984040,LichtBlick,LichtBlick,1166,57
116580098376181,Audible,These ads ran without a disclaimer,1032,2
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,968,77
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,887,30
123523341045520,Die Familienunternehmer,Die Familienunternehmer,797,10
133430763472093,Gabriela Heinrich,SPD Nürnberg,748,21
116000986793106,Klima,Climate Labs GmbH,746,2
478399422560922,KadeFungin,DR. KADE,697,13
112352081112400,Inyova Impact Investing - Germany,Inyova Impact Investing,681,38
90035328642,PETA Deutschland,PETA Deutschland,667,14
164131966966839,FDP Schleswig-Holstein,FDP Schleswig-Holstein,654,23
1655252804795367,Oatly,Oatly,605,1
1578640155687393,Sea-Watch,Sea-Watch,603,11
1947378708884004,Initiative Frosch,Initiative Frosch,603,21
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,583,6
350558562311,FDP Bayern,FDP Bayern,547,7
453150811428411,Mastercard,Mastercard,486,3
161674141345516,Weltverbesserer,Die Techniker (TK),475,11
47930567748,SPD,SPD,468,4
2093351790978732,Lucid: Great Ideas Visualized,These ads ran without a disclaimer,443,2
380349938694731,Mentor Verlag,Mentor Verlag,410,5
102608544969110,Posterisan,DR. KADE,398,21
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,359,15
614408642007931,Zurich,Zürich Beteiligungs AG,358,6
484950398505596,IRC Deutschland,IRC Deutschland,339,4
370397683457658,Deutsche Wohnen & Co Enteignen,Deutsche Wohnen & Co Enteignen,338,2
161273245888,Save the Children Deutschland,Save the Children Deutschland,303,9
137267732953826,Berliner Zeitung,Berliner Verlag GmbH,300,8
183292338524573,Nestlé,Nestlé Deutschland,290,1
223829854355699,Frosch,Frosch,289,2
100975935361774,Wissensstadt Berlin 2021,Kulturprojekte Berlin GmbH,285,11
107898832590939,European Commission,European Commission,282,26
154423267921909,followfood,followfood,277,2
116335026590900,Mülltrennung wirkt,die dualen Systeme,266,53
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,233,45
106261086094051,noz.de,Neue Osnabrücker Zeitung GmbH & Co. KG,223,24
387862064617610,Grüne Hannover,BÜNDNIS 90/DIE GRÜNEN,214,34
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,213,15
107411260903386,The Mother Nature App,The Mother Nature GmbH,212,8
158888744130107,Hubert Aiwanger Minister Bundesvors. Freie Wähler,Hubert Aiwanger,208,5
202215676478081,FDP MV,FDP Mecklenburg-Vorpommern,207,5
128440447895402,Jeder Tag zählt e.V.,Jeder Tag zählt e.V.,204,4
110271520875262,Berlin TXL,Land Berlin vertreten durch die Tegel Projekt GmbH,204,21
100100816716837,Stadt Augsburg,Stadt Augsburg,203,53
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,196,3
357565717909863,conny.legal,wenigermiete.de,195,13
127143338110,missio,missio,193,5
313744767921,der Freitag,der Freitag,191,15
1565754943752371,Robert Farle,Robert Farle,190,15
45872374946,GREENPEACE MAGAZIN,GREENPEACE MAGAZIN,184,8
133306764192,NABU Bundesverband,NABU Bundesverband,184,69
101034177178,Cleanthinking.de - Sauber in die Zukunft,Martin Ulrich Jendrischik,181,1
101285651990166,Planted,Planted HQ gGmbH,180,6
