Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
78502295414,CDU,CDU,83442,271
540404695989874,AfD,AfD,39989,91
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,37939,46
47930567748,SPD,SPD,24517,138
111033161266569,DeinMorgen,Die Jungen Unternehmer,20000,56
82734241364,Campact e.V.,Campact e.V.,17815,685
109478215738226,Armin Laschet,CDU,15246,6
108824017345866,Facebook,Facebook Inc.,15114,27
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),13503,21
21289227249,FDP,FDP,11589,553
143504445664134,Christian Lindner,FDP,10410,25
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,9866,5
47694585682,DIE LINKE,DIE LINKE,9670,21
331832984040,LichtBlick,LichtBlick,8036,40
20672124724,BÜNDNIS 90/DIE GRÜNEN NRW,BÜNDNIS 90/DIE GRÜNEN NRW,6105,4
134137749971478,SPD Berlin,SPD Berlin,5876,17
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,5390,741
123523341045520,Die Familienunternehmer,Die Familienunternehmer,4574,50
106516184465027,DieBasis,Basisdemokratische Partei Deutschland,4349,61
350558562311,FDP Bayern,FDP Bayern,4298,103
75159424764,Aktion Mensch,Aktion Mensch,3832,29
395225134413161,Volt Berlin,Volt Berlin,3635,62
103558289679671,Bündnis 90/Die Grünen Berlin,Die Landesgeschäftsführung von Bündnis 90/Die Grünen Berlin,3316,27
12084075837,Jürgen Todenhöfer,Team Todenhöfer - Die Gerechtigkeitspartei,3308,23
189184071108491,FDP Hamburg,Freie Demokratische Partei (FDP) Landesverband Hamburg,3181,10
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,3076,109
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,2969,45
156304484388194,DIE LINKE. Berlin,DIE LINKE. Berlin,2929,25
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,2534,9
196999950359158,FDP Berlin,FDP Berlin,2353,111
126952903983246,CDU Berlin,CDU Berlin,2338,123
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,2248,6
202215676478081,FDP MV,FDP Mecklenburg-Vorpommern,2228,95
370397683457658,Deutsche Wohnen & Co Enteignen,Deutsche Wohnen & Co Enteignen,2209,19
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,2167,13
400646766650321,Blinkist,Blinks Labs GmbH,2082,19
282800387209,FDP NRW,FDP NRW,2015,68
461041840901568,MLPD,Marxitisch-Leninistische Partei Deutschlands,1980,14
133306764192,NABU Bundesverband,NABU Bundesverband,1702,4
1655252804795367,Oatly,Oatly,1615,2
351947321504088,GRÜNE Niedersachsen,Grüne Niedersachsen,1610,4
401644396606709,Kai Wegner,CDU Berlin,1594,27
134296905455337,Support Odin Janoske-Kizildag,Odin Janoske-Kizildag,1486,32
23216224900,Plan International Deutschland,Plan International Deutschland,1473,20
154149027994068,ZDF,ZDF,1455,3
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),1444,43
109050518199412,DieBasis Landesverband Rheinland-Pfalz,Basisdemokratische Partei Deutschland - Landesverband Rheinland Pfalz,1388,6
110135771403531,Diesmalgrün,diesmalgrün,1287,36
258679164938305,Maja Wallstein,SPD Cottbus,1255,31
178362315106,European Parliament,European Parliament,1239,17
101773823336428,Rüdiger Kruse,"Rüdiger Kruse, MdB",1232,42
1067821176570031,Paul Ziemiak,CDU Kreisverband Mark,1219,9
112562615494117,Bündnis 90/Die Grünen Friedrichshain-Kreuzberg,Bündnis 90/Die Grünen Xhain,1200,7
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,1131,22
116580098376181,Audible,These ads ran without a disclaimer,1126,4
241036373819,Ben & Jerry's,Ben & Jerry's,1090,6
92576009043,Jens Spahn,Jens Spahn,1085,76
134209407129787,Volt Deutschland,Volt Deutschland,1075,53
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1072,51
164514150363925,Hubert Hüppe,CDU Kreisverband Unna,1066,19
484950398505596,IRC Deutschland,IRC Deutschland,1064,5
189184071108491,FDP Hamburg,FDP Hamburg,1052,1
52888328642,"Oliver Luksic, MdB","Oliver Luksic, MdB",1051,4
227292860644574,Sebastian Czaja,FDP Berlin,1047,85
286496464854520,Bündnis 90 / Die Grünen - Stadtverband Grüne Gießen,Stadtverband Bündnis 90/Die Grünen Giessen,1035,21
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,988,7
209697875758716,Die Jungen Unternehmer,Die Jungen Unternehmer,972,16
114554831934355,Tierschutzbund,Deutscher Tierschutzbund e.V.,944,24
103763158414541,Elisabeth Krämer,Wahlkampfteam Elisabeth Krämer,888,4
101143705599210,Sandra von Möller,CDU Köln,885,12
107591306090255,Carsten Schneider,SPD-Kreisverband Erfurt,876,8
208991275785989,Vonovia,Vonovia SE,864,62
104342778292114,Kaspar Haller,Kaspar Haller,860,32
123878004343494,GRÜNE Altona,Grüne Altona,858,2
43899732459,fritz-kola,fritz-kola,854,5
