Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
103355385129734,The Climate Pledge,The Climate Pledge,11795,24
82734241364,Campact e.V.,Campact e.V.,7584,285
106626487721376,Amazon Europe,Amazon Europe,7194,9
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,6178,599
169463563099560,land.nrw,land.nrw,4159,16
21289227249,FDP,FDP,3744,62
453150811428411,Mastercard,Mastercard,2221,8
170688644503,UNICEF Deutschland,UNICEF Deutschland,1794,35
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,1701,19
1762360844053566,RECUP,RECUP,1295,64
540404695989874,AfD,AfD,1235,27
63415881040,Aktion Deutschland Hilft,Aktion Deutschland Hilft,1153,9
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,1016,48
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1014,99
23216224900,Plan International Deutschland,Plan International Deutschland,989,17
331832984040,LichtBlick,LichtBlick,974,49
442906105719770,TotalEnergies,TOTAL Deutschland GmbH,905,10
116580098376181,Audible,These ads ran without a disclaimer,750,2
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",705,1
1578640155687393,Sea-Watch,Sea-Watch,549,11
498082906898583,Spotify,Spotify,514,2
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,508,25
490874321062716,Berlin Partner für Wirtschaft und Technologie,Berlin Partner für Wirtschaft und Technologie,459,30
2012567329069330,Michael Sack,CDU Landesverband Mecklenburg-Vorpommern,455,18
1947378708884004,Initiative Frosch,Initiative Frosch,413,22
90035328642,PETA Deutschland,PETA Deutschland,391,25
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,390,42
116000986793106,Klima,Climate Labs GmbH,386,2
614408642007931,Zurich,Zürich Beteiligungs AG,359,9
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,351,60
2188342231399828,HSI/Deutschland,HSI/Deutschland,342,17
106441894501599,Zukunft prägen - Lehrer/-in werden,Bayerisches Staatsministerium für Unterricht und Kultus,341,16
102608544969110,Posterisan,DR. KADE,328,18
154423267921909,followfood,followfood,312,1
412708008752200,RaboDirect Deutschland,RaboDirect Deutschland,310,2
478399422560922,KadeFungin,DR. KADE,309,3
161273245888,Save the Children Deutschland,Save the Children Deutschland,304,15
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,285,6
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,275,85
